,Movie Name,Story
0,100. Bobby (1973),"Rich Hindu adolescent lad Raja (Kapoor) falls for Bobby (Kapadia), the 16-year-old granddaughter of his Goan Catholic nanny. When his snobbish parents object to their ‘friendship’, the young lovers decide to elope. This landmark film was a resounding success as Indian audiences had rarely ever seen teenage love expressed so sensuously on screen. The lead duo was believable too, and Kapadia became a national sensation with her mini-skirts and halter tops – an exposing bikini sequence was especially eye-grabbing. Laxmikant Pyarelal’s fresh soundtrack added to the appeal of this sweet film, with every song remaining a hit to this day."
1,99. Hum Aapke Hain Koun…! (1994),"This 1990s blockbuster was directly responsible for audiences in India and elsewhere returning to Bollywood after a drastic drop in attendance in the 1980s due to video piracy and disillusionment with the crude action films of that era. Expect 14 songs, two weddings and a cremation. Nothing else really happens, yet its shameless lavish depiction of every celebration of a perfect north Indian family, and especially their elaborate colourful Hindu wedding rituals, sucked audiences into cinemas again and again. ‘HAHK’, as it is known, is the film which kickstarted the global awareness of modern Bollywood."
2,98. Yeh Jawaani Hai Deewani (2013),"This romantic comedy fits the Bollywood template perfectly: it boasts flamboyant colours, songs and dance and, more importantly, a big fat Indian wedding. It tells of two characters, Bunny (Kapoor) and Naina (Padukone), and their group of friends, who we first meet as they leave university before the film flashes forward to the end of their twenties. What made the film doubly successful was that its two stars were former lovers in real life, lending them a special chemistry onscreen."
3,97. Veer-Zaara (2004),"Yash Chopra, Bollywood’s most successful and respected director, delivers a groundbreaking musical romance on an epic scale. Will the love that Indian Hindu Veer (Khan) and Pakistani Muslim Zaara (Zinta) feel for each other be able to overcome cross-cultural, emotional and physical borders? Chopra employs his trademark ‘chiffon sari in the Swiss Alps’ style while including progressive political and social messages about Indo-Pak unity, women’s rights, inept justice and hope for the future. The late composer Madan Mohan and Lata Mangeshkar’s tunes achieve lyrical perfection. The result is an uplifting, colourful and soulful gem."
4,96. Umrao Jaan (1981),"This is an adaptation of Mirza Hadi Ruswa’s well-known 1899 novel about a Lucknow courtesan called Umrao Jaan (Rekha) who fights to escape the profession she was kidnapped into by following the path of true love. The carefully crafted period setting captivated viewers and critics on its release, and the story was told again in 2006, this time with Aishwarya Rai in the title role."
5,95. Swades (2004),"In Swades, director Ashutosh Gowariker turned his gaze from pre-Independence India (his previous film was the Oscar-nominated Lagaan) to the present day and served up a movie that took a loving but unflinchingly critical look at ‘our country’ (as the title translates). Shah Rukh Khan plays US resident Mohan, who makes a life-altering trip to an Indian village that’s short of electricity and riven with petty conflicts. As many of us who live in countries other than those of our birth do, he slowly comes to realise the truth of the adage spoken by one of the villagers: ‘It is the destiny of ice to melt in its own water.’"
6,94. Salaam Bombay! (1998),"This story of kids living on the streets of Bombay isn’t Bollywood in the traditional sense. Writer-director Mira Nair had lived and studied in the US for several years by the time she returned to India to make her eye-opening drama about a young boy, Krishna (Syed) falling deeper and deeper into trouble in the big city. But this is still one of the most stark, realistic films to emerge from India in recent times. Nair cast real street children, something that Danny Boyle would later do for ‘Slumdog Millionaire’, and the film’s strength is that it observes and illuminates but does not judge – we’re given more than enough room to make up our own minds on the issues raised by the film."
7,93. Gully Boy (2019),"Like Danny Boyle’s Slumdog Millionaire, this film is set in the vibrant Dharavi slums of Mumbai. Key protagonist Murad Ahmed, played to perfection by Ranveer Singh, goes on an Eminem, 8 Mile-style journey, honing his craft with Shrikant ‘MC Sher’ Bhosle (Siddhant Chaturvedi) and Shweta ‘Sky’ Mehta (Kalki Koechlin) as supporters, while tending to his overprotective, doctor-to-be girlfriend, Safeena Firdausi (Alia Bhatt). Performing in a concert to impress rapper Nas becomes Murad’s goal. We follow the twists and turns of how his aims to turn his musical dreams into a reality, battling more than just words, but people, staid office jobs and social conventions that stand in his way."
8,92. Lage Raho Munna Bhai (2006),"Three years after making his debut with the sleeper hit, ‘Munna Bhai MBBS’, director Rajkumar Hirani brought back the lovable gangster Munna Bhai (Dutt) – for the best sequel ever made by Bollywood. Munna starts brushing up on his knowledge about Gandhi in order to impress a radio host. Soon, Gandhi materialises before Munna and starts having conversations with him, leading everyone to believe he’s lost his mind. Theatre actor Dilip Prabhavalkar made a rare Hindi film appearance as Gandhi, and nailed a character that’s always been tough to portray on screen."
9,91. Ardh Satya (1983),"Here, Govind Nihalani’s trademark ‘law and order’ political cinema exposes police brutality in the Bombay force. Anant (Puri) is a no-nonsense cop who is thwarted at every level by the system in his effort to arrest a crooked politician. When he kills a small-time thief, he is forced to seek protection from the same politician he loathes. A surprise hit as it had no major stars or hit songs, ‘Ardh Satya’ remains a realistic, caustic comment on the worrying nexus between corrupt politicians and bent cops in India then and now. Om Puri’s explosive performance is enthralling."
10,90. Hera Pheri (2000),"In this popular comedy, a nonsensical plot about a botched kidnapping and phone calls going to the wrong number is balanced by some fine acting from lead actors Kumar, Shetty and Rawal. The latter became an overnight star on the back of ‘Hera Pheri’ after being on the sidelines as a supporting actor for many years. His portrayal of an alcoholic, naïve, half-blind garage owner, who rents his home out to two young boys, brought the house down. The film remains enjoyable even after repeat viewings."
11,89. Bhaag Milkha Bhaag (2013),"Milkha Singh – known as The Flying Sikh – was a world-champion Olympic runner in the 1950s and 1960s, who infamously lost the most important race of his life. ‘Bhaag Milkha Bhaag’ shows us how he came to be one of India’s greatest runners, and how he overcame the demons of witnessing the massacre of his family during India’s partition. The success of the film comes from its strong attention to detail, a superb performance from Farhan Akhtar as Singh and an inspiring story."
12,88. Dhobi Ghat (2011),"Kiran Rao broke into filmmaking with this film about five characters, the fifth being the city of Mumbai (the title translates as ‘Mumbai Diaries’). Arun (Khan) is a reclusive painter who moves into a new apartment and finds video diaries left by the previous tenant, Yasmin (Kriti Malhotra). Shai (Dogra) is a photographer who befriends Munna (Babbar), a slum boy who hopes to break into Bollywood. Tushar Kanti Ray’s cinematography and Gustavo Santaolalla’s background score both beautifully complement this story about different classes of people co-existing in Mumbai."
13,87. Kati Patang (1970),"Inspired by the Hollywood weepie ‘No Man of Her Own’ (1950), Shakti Samanta’s film addresses the still-taboo theme of widows remarrying. The film goes out of its way to proclaim the untainted virgin status of its female lead, as Madhu (Parekh) only pretends to be a widow in order to assume a new identity. Complications follow when she is attracted to her ‘dead’ husband’s best mate (Khanna). The real superstar of this melodramatic film is RD Burman’s classic score: every track remains popular to this day."
14,86. Black Friday (2004),"Long before director Anurag Kashyap broke on to the international scene with films like 2012’s ‘Gangs of Wasseypur’, he struggled to release this controversial real-life drama about the infamous 1993 bomb blasts in Mumbai – arguably his best film to date. Kashyap stuck to investigative journalist Hussain Zaidi’s version of the planning, execution and aftermath of the explosions and extracted great performances from his ensemble cast. ‘Black Friday’ is a rare thing: an engaging Hindi film based on a true story."
15,85. Gangs of Wasseypur: Part One (2012),"Anurag Kashyap is Hindi cinema’s Quentin Tarantino, and this is his ‘Reservoir Dogs’, a bloody, brutal and visually arresting gangster film which centres on feuding families and a coal-mining racket. Menacing mafia don Sardar Khan (Bajpai), and his Bollywood-loving, stoner son Faizal (Siddiqui), are both compelling screen presences. Kashyap rips to shreds Bollywood’s tradition of shooting airbrushed heroes and heroines in pristine locations. Instead this oozes blood and black humour. Kashyap made ‘Part Two’ at the same time."
16,84. Arth (1982),"This is truly mature cinema. Mahesh Bhatt’s breakout film ‘Arth’ was partly autobiographical, giving it a sense of intimacy still rare in Hindi cinema. Pooja (Azmi) finds the bubble of her happy marriage starting to burst when she discovers that her filmmaker husband, Inder (Kharbanda), is having an affair with Kavita (Patil). Pooja’s search for her own identity leads her to many revelations, while Inder is ultimately left alone."
17,83. Dhoom (2004),"Bollywood’s most successful modern franchise features stylish villains on the run from a lovable yet inept duo: policeman Dixit (Bachchan) and Ali (Chopra), a thief whose help he seeks out. So far there have been three ‘Dhoom’ movies, and in this first one the villain was Kabir (Abraham), the head of a motorbike gang. The series is heavily defined by its stunt action set pieces and owes a big debt to the likes of ‘The Fast and the Furious’ and ‘Ocean’s Eleven’."
18,82. Kahaani (2012),"A heavily pregnant woman (Vidya Balan) arrives in Kolkata alone and goes straight to the police station. But why? So begins a shadowy quest to track down her missing husband and a gauntlet of police officers inclined to dismiss the worries of a pregnant woman. Slowly, director Sujoy Ghosh draws them – and us – into her web of secrets and lies, as the mission begins to morph into something more sinister. Ghosh expertly sows the culture of Kolkata deep into his thriller, so much so that the city becomes a character in the story and a much-needed ally for Vidya."
19,81. Dabangg (2010),"Writer-director Abhinav Kashyap paid tribute to 1970s Hindi cinema with this entertaining action movie that gave actor Salman Khan’s stardom a boost, and revived the masala genre in a major way (not entirely a good thing). Khan plays the iconic Chulbul Pandey, a corrupt cop in north India who goes after politicians and gangsters and refers to himself as ‘Robin Hood’ Pandey. There are several plot holes, but the film rides on a breezy script, Khan’s charm and some well-choreographed action scenes."
